Category,Message
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 158801
spam,#ERROR!
spam,"Bitcoin investment #281829: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Loan $66746 approved. 8.75% APR. App #846587. Processing $612.
ham,Please review report by Friday. Task #812289. Thanks!
spam,Loan $64206 approved. 6.95% APR. App #738367. Processing $599.
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 932606
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
spam,Student loan #478368 forgiveness $53370 approved. Claim with $278 processing fee.
ham,Order #779308 shipped. Arrives Monday. Total: $95. Track online.
ham,Yes princess! I want to make you happy...
ham,Assignment due Monday. Course #735906. Submit via portal.
spam,Invoice #339270: Payment $5986 overdue 7 days. Pay immediately or legal action.
ham,Order #921849 shipped. Arrives Friday. Total: $890. Track online.
ham,Order #256371 shipped. Arrives Tuesday. Total: $330. Track online.
spam,Loan $95087 approved. 9.47% APR. App #426217. Processing $477.
spam,Student loan #268626 forgiveness $15295 approved. Claim with $178 processing fee.
ham,Assignment due Monday. Course #981302. Submit via portal.
ham,Assignment due Monday. Course #793181. Submit via portal.
ham,Please review report by Tuesday. Task #569150. Thanks!
ham,Please review report by Friday. Task #949527. Thanks!
spam,Invoice #939309: Payment $58799 overdue 2 days. Pay immediately or legal action.
ham,Order #760439 shipped. Arrives Tuesday. Total: $459. Track online.
ham,Order #945028 shipped. Arrives Monday. Total: $140. Track online.
ham,Pls dont forget to study
ham,Assignment due Monday. Course #574596. Submit via portal.
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
spam,Loan $42037 approved. 8.43% APR. App #249972. Processing $456.
ham,Please review report by Friday. Task #108538. Thanks!
ham,Leave it. U will always be ignorant.
ham,Please review report by Friday. Task #783097. Thanks!
ham,"The table's occupied, I'm waiting by the tree"
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 551673
ham,Please review report by Friday. Task #597427. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 698222
ham,Please review report by Friday. Task #844287. Thanks!
ham,Order #785375 shipped. Arrives Tuesday. Total: $574. Track online.
spam,Foreclosure #150201: Pay $20892 by Friday or property auctioned. Call now.
ham,Order #858180 shipped. Arrives Friday. Total: $466. Track online.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 597272
ham,Please review report by Tuesday. Task #326855. Thanks!
ham,Oh... Okie lor...We go on sat...
ham,Order #818310 shipped. Arrives Friday. Total: $731. Track online.
spam,"Bitcoin investment #920952: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,WINNER #552486: Won $83013 in lottery. Claim immediately!
spam,"Bitcoin investment #312277: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Ofcourse I also upload some songs
ham,S:)8 min to go for lunch:)
ham,Please review report by Friday. Task #754951. Thanks!
ham,Order #377620 shipped. Arrives Friday. Total: $972. Track online.
ham,Order #598973 shipped. Arrives Tuesday. Total: $145. Track online.
ham,After the drug she will be able to eat.
ham,Please review report by Monday. Task #223089. Thanks!
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row"
spam,Foreclosure #794269: Pay $98281 by Friday or property auctioned. Call now.
ham,Assignment due Tuesday. Course #613063. Submit via portal.
ham,Please review report by Tuesday. Task #354928. Thanks!
ham,Im on gloucesterroad what are uup to later?
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 780541
ham,Please review report by Monday. Task #630144. Thanks!
ham,Order #654497 shipped. Arrives Friday. Total: $181. Track online.
ham,Exactly. Anyways how far. Is jide her to study or just visiting
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 448101
ham,Order #727438 shipped. Arrives Friday. Total: $68. Track online.
ham,I'll let you know when it kicks in
ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
spam,Invoice #868108: Payment $80754 overdue 7 days. Pay immediately or legal action.
ham,"Call me da, i am waiting for your call."
ham,Order #366851 shipped. Arrives Monday. Total: $860. Track online.
spam,WINNER #280944: Won $25613 in lottery. Claim immediately!
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,"There'll be a minor shindig at my place later tonight, you interested?"
spam,Student loan #723750 forgiveness $30104 approved. Claim with $204 processing fee.
spam,Foreclosure #270500: Pay $65601 by Friday or property auctioned. Call now.
ham,Gettin rdy to ship comp
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 908515
ham,Assignment due Friday. Course #329787. Submit via portal.
spam,"Bitcoin investment #690042: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,I will lick up every drop :) are you ready to use your mouth as well?
ham,Please review report by Tuesday. Task #544455. Thanks!
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 817147
ham,Please review report by Friday. Task #575799. Thanks!
spam,WINNER #230191: Won $99034 in lottery. Claim immediately!
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 385227
ham,Order #440780 shipped. Arrives Monday. Total: $829. Track online.
ham,Assignment due Friday. Course #626621. Submit via portal.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 551772
spam,WINNER #819964: Won $76008 in lottery. Claim immediately!
ham,Dude got a haircut. Now its breezy up there
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
spam,Invoice #248450: Payment $81369 overdue 7 days. Pay immediately or legal action.
ham,Please review report by Tuesday. Task #946181. Thanks!
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 608770
spam,Foreclosure #162929: Pay $94357 by Friday or property auctioned. Call now.
ham,From 5 to 2 only my work timing.
spam,WINNER #119210: Won $78128 in lottery. Claim immediately!
ham,"Aldrine, rakhesh ex RTM here.pls call.urgent."
spam,Loan $62963 approved. 5.29% APR. App #106276. Processing $455.
ham,Assignment due Tuesday. Course #422724. Submit via portal.
ham,Assignment due Tuesday. Course #911627. Submit via portal.
spam,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,My sister going to earn more than me da.
spam,Foreclosure #549158: Pay $15025 by Friday or property auctioned. Call now.
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 184981
ham,"Oops I did have it,  &lt;#&gt; ?"
ham,Please review report by Friday. Task #769381. Thanks!
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
ham,Please review report by Tuesday. Task #788262. Thanks!
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
ham,Juz go google n search 4 qet...
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 253780
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
ham,Shall i come to get pickle
ham,Please review report by Friday. Task #323830. Thanks!
spam,Student loan #989641 forgiveness $81501 approved. Claim with $393 processing fee.
spam,WINNER #800519: Won $11817 in lottery. Claim immediately!
spam,Student loan #293108 forgiveness $94319 approved. Claim with $235 processing fee.
ham,Yup... How ü noe leh...
ham,"Sorry, I'll call later"
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 795060
ham,Assignment due Friday. Course #421857. Submit via portal.
ham,I dont have i shall buy one dear
ham,Order #729917 shipped. Arrives Tuesday. Total: $307. Track online.
spam,Loan $80212 approved. 6.39% APR. App #656924. Processing $599.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 115255
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 841298
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
spam,Foreclosure #788684: Pay $33993 by Friday or property auctioned. Call now.
ham,Assignment due Tuesday. Course #513109. Submit via portal.
ham,Still i have not checked it da. . .
ham,Assignment due Tuesday. Course #908793. Submit via portal.
spam,Student loan #514272 forgiveness $66751 approved. Claim with $223 processing fee.
ham,Order #825158 shipped. Arrives Monday. Total: $109. Track online.
ham,Order #648509 shipped. Arrives Friday. Total: $573. Track online.
ham,Omg it could snow here tonite!
spam,Invoice #950115: Payment $99998 overdue 5 days. Pay immediately or legal action.
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
spam,Student loan #317498 forgiveness $44741 approved. Claim with $483 processing fee.
ham,"How about clothes, jewelry, and trips?"
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham,Can do lor...
spam,"Bitcoin investment #659933: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 296477
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
spam,Invoice #756773: Payment $57118 overdue 3 days. Pay immediately or legal action.
ham,Geeeee ... I love you so much I can barely stand it
ham,Assignment due Friday. Course #179530. Submit via portal.
spam,"Bitcoin investment #770585: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Foreclosure #229842: Pay $50723 by Friday or property auctioned. Call now.
ham,Arun can u transfr me d amt
spam,Invoice #756042: Payment $26243 overdue 4 days. Pay immediately or legal action.
ham,Please review report by Monday. Task #201256. Thanks!
ham,Please review report by Friday. Task #633505. Thanks!
spam,Student loan #576795 forgiveness $26784 approved. Claim with $355 processing fee.
ham,Please review report by Monday. Task #785490. Thanks!
ham,"Aight, see you in a bit"
spam,Loan $64323 approved. 8.82% APR. App #124868. Processing $627.
spam,Student loan #412959 forgiveness $52788 approved. Claim with $319 processing fee.
ham,Waaaat?? Lololo ok next time then!
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 239712
ham,Assignment due Tuesday. Course #397523. Submit via portal.
spam,Student loan #118989 forgiveness $97611 approved. Claim with $320 processing fee.
ham,Please review report by Friday. Task #766542. Thanks!
ham,Assignment due Friday. Course #676583. Submit via portal.
ham,"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,Order #495108 shipped. Arrives Monday. Total: $82. Track online.
ham,Please review report by Tuesday. Task #923868. Thanks!
ham,"Wat time liao, where still got."
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 781337
spam,"Bitcoin investment #957078: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Assignment due Monday. Course #105743. Submit via portal.
spam,Invoice #284137: Payment $40944 overdue 5 days. Pay immediately or legal action.
ham,Please review report by Tuesday. Task #193687. Thanks!
ham,Assignment due Tuesday. Course #872215. Submit via portal.
ham,Order #464694 shipped. Arrives Monday. Total: $304. Track online.
spam,Invoice #169327: Payment $49202 overdue 4 days. Pay immediately or legal action.
spam,Loan $26468 approved. 1.68% APR. App #815264. Processing $430.
spam,"Bitcoin investment #211853: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Assignment due Friday. Course #183498. Submit via portal.
ham,U still painting ur wall?
spam,Student loan #135342 forgiveness $60711 approved. Claim with $248 processing fee.
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
ham,Please review report by Friday. Task #310604. Thanks!
ham,Assignment due Monday. Course #349425. Submit via portal.
ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
ham,"Carlos took a while (again), we leave in a minute"
ham,Order #468982 shipped. Arrives Monday. Total: $375. Track online.
ham,Assignment due Monday. Course #499335. Submit via portal.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 990463
spam,Foreclosure #497994: Pay $84373 by Friday or property auctioned. Call now.
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Please review report by Tuesday. Task #255331. Thanks!
spam,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
ham,Sindu got job in birla soft ..
ham,Pls go there today  &lt;#&gt; . I dont want any excuses
ham,Order #753968 shipped. Arrives Tuesday. Total: $640. Track online.
spam,ringtoneking 84484
spam,Foreclosure #767582: Pay $39434 by Friday or property auctioned. Call now.
ham,Assignment due Monday. Course #440442. Submit via portal.
ham,Please review report by Tuesday. Task #106949. Thanks!
ham,No. But we'll do medical missions to nigeria
ham,Order #949084 shipped. Arrives Monday. Total: $39. Track online.
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP"""
ham,K.i will send in  &lt;#&gt;  min:)
spam,Loan $39131 approved. 6.19% APR. App #843745. Processing $645.
spam,Foreclosure #726941: Pay $22434 by Friday or property auctioned. Call now.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 591894
ham,Two teams waiting for some players
ham,Order #224109 shipped. Arrives Monday. Total: $239. Track online.
ham,Order #859354 shipped. Arrives Monday. Total: $925. Track online.
spam,Foreclosure #131721: Pay $66366 by Friday or property auctioned. Call now.
ham,Order #276837 shipped. Arrives Tuesday. Total: $742. Track online.
spam,Loan $16547 approved. 4.02% APR. App #759234. Processing $753.
spam,Loan $49940 approved. 4.04% APR. App #433096. Processing $656.
ham,Assignment due Tuesday. Course #263261. Submit via portal.
ham,Prepare to be pleasured :)
ham,Got it..mail panren paru..
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
ham,Please review report by Monday. Task #266483. Thanks!
ham,soon you will have the real thing princess! Do i make you wet? :)
spam,Foreclosure #915283: Pay $8322 by Friday or property auctioned. Call now.
spam,"Bitcoin investment #416029: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Order #459039 shipped. Arrives Tuesday. Total: $125. Track online.
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
spam,Student loan #204085 forgiveness $50304 approved. Claim with $121 processing fee.
ham,Assignment due Friday. Course #628245. Submit via portal.
ham,Assignment due Tuesday. Course #572386. Submit via portal.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 779085
ham,Send me your resume:-)
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
spam,Loan $40811 approved. 2.68% APR. App #583477. Processing $334.
ham,Please review report by Monday. Task #653947. Thanks!
spam,"Bitcoin investment #738139: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Where are the garage keys? They aren't on the bookshelf
spam,Student loan #410629 forgiveness $55805 approved. Claim with $422 processing fee.
ham,Order #915208 shipped. Arrives Monday. Total: $966. Track online.
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,Assignment due Friday. Course #678521. Submit via portal.
ham,Please review report by Tuesday. Task #735692. Thanks!
ham,Please review report by Tuesday. Task #903973. Thanks!
ham,Ffffffffff. Alright no way I can meet up with you sooner?
spam,Loan $89949 approved. 9.72% APR. App #703220. Processing $379.
ham,Order #603685 shipped. Arrives Friday. Total: $20. Track online.
spam,Invoice #735637: Payment $59249 overdue 1 days. Pay immediately or legal action.
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
ham,I'm home.
spam,Foreclosure #273267: Pay $97139 by Friday or property auctioned. Call now.
ham,Assignment due Friday. Course #638435. Submit via portal.
ham,Assignment due Tuesday. Course #952355. Submit via portal.
spam,Loan $47628 approved. 9.20% APR. App #412752. Processing $233.
ham,Order #713090 shipped. Arrives Monday. Total: $678. Track online.
ham,"Sorry,in meeting I'll call later"
spam,WINNER #862901: Won $70997 in lottery. Claim immediately!
spam,Invoice #228021: Payment $57796 overdue 7 days. Pay immediately or legal action.
ham,That's necessarily respectful
ham,Order #594080 shipped. Arrives Monday. Total: $22. Track online.
ham,Ugh my leg hurts. Musta overdid it on mon.
spam,"Bitcoin investment #710810: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Foreclosure #473596: Pay $54107 by Friday or property auctioned. Call now.
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june."
spam,Loan $65842 approved. 3.48% APR. App #196852. Processing $532.
spam,Foreclosure #392097: Pay $31088 by Friday or property auctioned. Call now.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 299808
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 504515
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 915776
ham,Please review report by Monday. Task #100497. Thanks!
ham,O. Guess they both got screwd
ham,Hows that watch resizing
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
spam,WINNER #371286: Won $9879 in lottery. Claim immediately!
ham,I will come tomorrow di
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
ham,Nope. I just forgot. Will show next week
spam,WINNER #126867: Won $43947 in lottery. Claim immediately!
ham,Webpage s not available!
ham,Order #646769 shipped. Arrives Friday. Total: $223. Track online.
spam,Student loan #498017 forgiveness $34657 approved. Claim with $194 processing fee.
spam,Student loan #660729 forgiveness $70574 approved. Claim with $392 processing fee.
ham,Please review report by Tuesday. Task #957899. Thanks!
spam,Invoice #168886: Payment $26386 overdue 5 days. Pay immediately or legal action.
spam,Student loan #983353 forgiveness $87681 approved. Claim with $173 processing fee.
ham,Order #341870 shipped. Arrives Monday. Total: $969. Track online.
ham,Please review report by Tuesday. Task #330948. Thanks!
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
spam,Student loan #304738 forgiveness $13902 approved. Claim with $399 processing fee.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 669688
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 362971
ham,Order #157960 shipped. Arrives Friday. Total: $845. Track online.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 502585
ham,Order #480492 shipped. Arrives Friday. Total: $279. Track online.
spam,WINNER #849622: Won $98670 in lottery. Claim immediately!
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Have a good evening! Ttyl
ham,Order #762577 shipped. Arrives Friday. Total: $643. Track online.
ham,My exam is for february 4. Wish you a great day.
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,Please review report by Friday. Task #737045. Thanks!
ham,Ok...
spam,Loan $80709 approved. 6.03% APR. App #479024. Processing $740.
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,Assignment due Friday. Course #718195. Submit via portal.
ham,Assignment due Monday. Course #486657. Submit via portal.
ham,Aight what time you want me to come up?
ham,Lol alright i was thinkin that too haha
ham,Somebody should go to andros and steal ice
ham,Order #343960 shipped. Arrives Monday. Total: $636. Track online.
spam,"Bitcoin investment #468076: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,S.i'm watching it in live..
ham,Order #911821 shipped. Arrives Friday. Total: $674. Track online.
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
spam,Student loan #699841 forgiveness $51381 approved. Claim with $301 processing fee.
spam,"Bitcoin investment #888925: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Assignment due Monday. Course #248067. Submit via portal.
ham,Goodmorning sleeping ga.
ham,Please review report by Monday. Task #646283. Thanks!
ham,Watching telugu movie..wat abt u?
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!
ham,Order #877835 shipped. Arrives Friday. Total: $814. Track online.
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
ham,Assignment due Friday. Course #687325. Submit via portal.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Order #456468 shipped. Arrives Tuesday. Total: $107. Track online.
ham,Same to u...
ham,K go and sleep well. Take rest:-).
ham,Assignment due Tuesday. Course #730590. Submit via portal.
ham,Assignment due Friday. Course #592724. Submit via portal.
ham,Assignment due Tuesday. Course #404163. Submit via portal.
spam,Loan $44020 approved. 9.16% APR. App #139853. Processing $708.
ham,Rofl. Its true to its name
ham,Did you see that film:)
spam,Loan $41779 approved. 3.13% APR. App #733821. Processing $692.
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
spam,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
ham,Assignment due Monday. Course #912505. Submit via portal.
spam,WINNER #586297: Won $70346 in lottery. Claim immediately!
ham,Assignment due Monday. Course #807886. Submit via portal.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 136861
ham,Please review report by Tuesday. Task #968044. Thanks!
ham,"Cool, text me when you're parked"
ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
ham,"sorry, no, have got few things to do. may be in pub later."
ham,Order #593220 shipped. Arrives Monday. Total: $475. Track online.
spam,Foreclosure #581385: Pay $22825 by Friday or property auctioned. Call now.
spam,Loan $73709 approved. 8.88% APR. App #112503. Processing $706.
ham,Assignment due Friday. Course #759994. Submit via portal.
ham,Assignment due Tuesday. Course #208499. Submit via portal.
ham,Shb b ok lor... Thanx...
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 531037
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 979051
ham,Order #726093 shipped. Arrives Monday. Total: $871. Track online.
spam,Loan $9080 approved. 2.05% APR. App #892595. Processing $211.
spam,Student loan #519361 forgiveness $81127 approved. Claim with $420 processing fee.
